name,latitude,longitude,geometry,Bundesland,Regierungsbezirk,Kreis,Typ
Campingparadies Dahmen am Malchiner See Inh. Stefan Herrmann,53.66170930000001,12.5854276,POINT (12.5854276 53.66170930000001),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Güstrow,Landkreise
Campingpark Seedorf,53.6803117,12.6306546,POINT (12.6306546 53.6803117),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Demmin,Landkreise
PEENEHOF KÖPPEN,53.88850669999999,12.678998,POINT (12.678998 53.88850669999999),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Güstrow,Landkreise
Klax Natur- und Umweltcamp,53.64052179999999,12.5901389,POINT (12.5901389 53.64052179999999),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Müritz,Landkreise
Freizeit- und Wellnesscenter Tessin,54.0245255,12.4617554,POINT (12.4617554 54.0245255),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Bad Doberan,Landkreise
Zeltplatz,53.8510167,12.9543156,POINT (12.9543156 53.8510167),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Demmin,Landkreise
Campingpark Sommersdorf,53.79967929999999,12.8760783,POINT (12.8760783 53.79967929999999),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Demmin,Landkreise
Imbiss+Raststätte Zum Blitzer,53.5334896,12.785797,POINT (12.785797 53.5334896),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Müritz,Landkreise
Kanustation Loitz - Amazon Camp,53.970929,13.136296,POINT (13.136296 53.970929),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Demmin,Landkreise
AMAZONAS - CAMPING / Loitz,53.970795,13.1367087,POINT (13.1367087 53.970795),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Demmin,Landkreise
Wasserwanderrastplatz Sophienhof,53.957779,13.1726893,POINT (13.1726893 53.957779),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Demmin,Landkreise
"Campingplatz ""Zur hohlen Eiche""",53.4750898,12.8730767,POINT (12.8730767 53.4750898),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Müritz,Landkreise
"Camping ""Ostseeblick"" Trassenheide",54.090132,13.885704,POINT (13.885704 54.090132),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ostvorpommern,Landkreise
Wasserwanderrastplatz Anklam,53.85601459999999,13.6773669,POINT (13.6773669 53.85601459999999),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ostvorpommern,Landkreise
Naturcamping Lassan,53.9475007,13.8572655,POINT (13.8572655 53.9475007),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ostvorpommern,Landkreise
Hafen Zecherin,54.0777224,13.8068428,POINT (13.8068428 54.0777224),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ostvorpommern,Landkreise
Touristinformation,54.1163473,13.8303754,POINT (13.8303754 54.1163473),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ostvorpommern,Landkreise
Campingplatz Pommernland,54.08250299999999,13.8991686,POINT (13.8991686 54.08250299999999),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ostvorpommern,Landkreise
Mobilcamp Heringsdorf,53.9619404,14.1517425,POINT (14.1517425 53.9619404),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ostvorpommern,Landkreise
"Caravanstellplatz ""Am Wiesenrand""",53.94189000000001,14.17571,POINT (14.17571 53.94189000000001),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ostvorpommern,Landkreise
Dünencamp Karlshagen,54.11769839999999,13.8449913,POINT (13.8449913 54.11769839999999),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ostvorpommern,Landkreise
Meergrün-Campingpark Olsdorf,54.3070016,8.6480369,POINT (8.6480369 54.3070016),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
Campingplatz Biehl,54.33627779999999,8.6044556,POINT (8.6044556 54.33627779999999),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
Campingplatz Amrum,54.62882490000001,8.3663268,POINT (8.3663268 54.62882490000001),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
Camping SPO,54.3324243,8.619835000000002,POINT (8.619835000000002 54.3324243),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
"Campingplatz , Ferienwohnungen Bauernhof Voß",54.33228339999999,8.622387699999997,POINT (8.622387699999997 54.33228339999999),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
DACHZELT DORF Amrum,54.6280673,8.3672799,POINT (8.3672799 54.6280673),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
Wohnmobil Stellplatz,54.3025713,8.656640200000002,POINT (8.656640200000002 54.3025713),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
Nanke Ibs-Korupp,54.32395,8.69653,POINT (8.69653 54.32395),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
Campingplatz Olendiek,54.2832134,8.7808472,POINT (8.7808472 54.2832134),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
Camping Wesselburenerkoog,54.24728,8.84152,POINT (8.84152 54.24728),Schleswig-Holstein,Schleswig-Holstein,Dithmarschen,Landkreise
Camping and RV space Margarethenruh,54.4692941,8.9097147,POINT (8.9097147 54.4692941),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
Campingplatz Baasner,54.1548707,8.8263153,POINT (8.8263153 54.1548707),Schleswig-Holstein,Schleswig-Holstein,Dithmarschen,Landkreise
Campingplatz Nordseeburg,54.1558709,8.828738099999999,POINT (8.828738099999999 54.1558709),Schleswig-Holstein,Schleswig-Holstein,Dithmarschen,Landkreise
Stellplatz am Kapitänshaus - Tönning,54.31080799999999,8.9403951,POINT (8.9403951 54.31080799999999),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
WoMoLand Nordstrand,54.5180208,8.932075300000001,POINT (8.932075300000001 54.5180208),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
Wohnmobilstellplatz Friedrichstadt,54.3718926,9.086755,POINT (9.086755 54.3718926),Schleswig-Holstein,Schleswig-Holstein,Nordfriesland,Landkreise
Wohnmobilstellplatz,54.20235999999999,9.113159999999995,POINT (9.113159999999995 54.20235999999999),Schleswig-Holstein,Schleswig-Holstein,Dithmarschen,Landkreise
Campingpark Schlei-Karschau,54.61989459999999,9.8842487,POINT (9.8842487 54.61989459999999),Schleswig-Holstein,Schleswig-Holstein,Schleswig-Flensburg,Landkreise
Treene-Camp-Horn Inh.Sönke Horn,54.5486059,9.3360388,POINT (9.3360388 54.5486059),Schleswig-Holstein,Schleswig-Holstein,Schleswig-Flensburg,Landkreise
Waldseehof Ahlefeld - Anke & Wilhelm Wischnewski,54.39466239999999,9.6815337,POINT (9.6815337 54.39466239999999),Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,Landkreise
Naturist Camping on Flemhuder Lake Kiel e.V. (NC Kiel),54.336972,9.958229,POINT (9.958229 54.336972),Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,Landkreise
Zeltplatz,54.49868559999999,9.615549200000002,POINT (9.615549200000002 54.49868559999999),Schleswig-Holstein,Schleswig-Holstein,Schleswig-Flensburg,Landkreise
Naturcampingplatz Hellör,54.5366163,9.7325607,POINT (9.7325607 54.5366163),Schleswig-Holstein,Schleswig-Holstein,Schleswig-Flensburg,Landkreise
Lake Campsite BUM in focus,54.1823953,9.884013,POINT (9.884013 54.1823953),Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,Landkreise
Camping-Ferienpark Brahmsee Campingplatz,54.21453,9.91795,POINT (9.91795 54.21453),Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,Landkreise
Campingplatz Neustein,54.4151736,10.2439257,POINT (10.2439257 54.4151736),Schleswig-Holstein,Schleswig-Holstein,Plön,Landkreise
Campingplatz Preetz,54.2285262,10.2864737,POINT (10.2864737 54.2285262),Schleswig-Holstein,Schleswig-Holstein,Plön,Landkreise
Wohnmobilstellplatz Preetz,54.22812069999999,10.2871879,POINT (10.2871879 54.22812069999999),Schleswig-Holstein,Schleswig-Holstein,Plön,Landkreise
Wohnmobilpark Damp,54.5773275,10.015858,POINT (10.015858 54.5773275),Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,Landkreise
Damp Ostseecamping,54.598073,10.024251,POINT (10.024251 54.598073),Schleswig-Holstein,Schleswig-Holstein,Rendsburg-Eckernförde,Landkreise
Rosenfelder Strand Ostsee Camping,54.2650805,11.0777198,POINT (11.0777198 54.2650805),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Campingplatz Axel Schwab,54.288478,10.66406,POINT (10.66406 54.288478),Schleswig-Holstein,Schleswig-Holstein,Plön,Landkreise
Zeltlager Adlerhorst,54.1612668,10.4797556,POINT (10.4797556 54.1612668),Schleswig-Holstein,Schleswig-Holstein,Plön,Landkreise
Camping at the Schwentine,54.1668136,10.5673823,POINT (10.5673823 54.1668136),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Campingplatz Jipp,54.3039938,10.6898571,POINT (10.6898571 54.3039938),Schleswig-Holstein,Schleswig-Holstein,Plön,Landkreise
Camping Ostsee Katharinenhof,54.4425578,11.2761847,POINT (11.2761847 54.4425578),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Insel-Camp Fehmarn,54.41263960000001,11.2448706,POINT (11.2448706 54.41263960000001),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Belt-Camping-Fehmarn,54.5288535,11.0921989,POINT (11.0921989 54.5288535),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Camping-Südstrand,54.4136903,11.250232,POINT (11.250232 54.4136903),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
Ahoi Camp Fehmarn,54.5305572,11.0805625,POINT (11.0805625 54.5305572),Schleswig-Holstein,Schleswig-Holstein,Ostholstein,Landkreise
