campingsplatzname,left,right,geometry,Bundesland,Regierungsbezirk,Kreis,Typ,stations_id,distance_km
Campingplatz Kratzmühle,49.0037527,11.4523707,POINT (1274872.0746998058 6275498.172670536),Bayern,Oberbayern,Eichstätt,Landkreise,5705,211.84
Zweckverband Brombachsee,49.1180133,10.9292015,POINT (1216633.1457570817 6294909.556887414),Bayern,Mittelfranken,Weißenburg-Gunzenhausen,Landkreise,5705,155.48
Zeltplatz Breitenfurt - Fam. Hell,48.8739438,11.1026317,POINT (1235939.3073092573 6253499.298556094),Bayern,Oberbayern,Eichstätt,Landkreise,5705,199.22
Bootsrastplatz Gungolding,48.9220042,11.3552291,POINT (1264058.3212529623 6261637.486006056),Bayern,Oberbayern,Eichstätt,Landkreise,5705,212.65
AZUR Camping Altmühltal in Bayern,48.94834999999999,11.3885999,POINT (1267773.1417163264 6266102.0094879335),Bayern,Oberbayern,Eichstätt,Landkreise,5705,212.41
Willy-Brandt-Zeltlagerplatz,49.07982639999999,11.1875109,POINT (1245388.0166321977 6288417.134314397),Bayern,Mittelfranken,Roth,Landkreise,5705,180.87
Campingplatz Heideck,49.1290866,11.1113332,POINT (1236907.9538583949 6296793.141022475),Bayern,Mittelfranken,Roth,Landkreise,5705,168.98
Zeltwiese Absberg,49.13741,10.877386,POINT (1210865.0706818828 6298209.240207071),Bayern,Mittelfranken,Weißenburg-Gunzenhausen,Landkreise,5705,149.11
See Camping Langlau,49.1271751,10.8663691,POINT (1209638.6749837624 6296467.962106345),Bayern,Mittelfranken,Weißenburg-Gunzenhausen,Landkreise,5705,149.55
Günther König,49.2362618,11.4516728,POINT (1274794.3848271815 6315045.576605434),Bayern,Oberpfalz,Neumarkt,Landkreise,5705,189.85
Camping Ottmaring Altmühltal,49.035858,11.5442417,POINT (1285099.107638475 6280947.938020044),Bayern,Oberpfalz,Neumarkt,Landkreise,5705,216.76
Landgasthof Kastlhof Inh. Herbert Brock,48.9410085,11.7562267,POINT (1308697.169894287 6264857.692038716),Bayern,Niederbayern,Kelheim,Landkreise,5705,245.32
Naturcamp Kauerlach GmbH,49.15120220000001,11.3157842,POINT (1259667.3350705705 6300556.295647287),Bayern,Mittelfranken,Roth,Landkreise,5705,184.68
Campingplatz Dietlhof bei Neumarkt i.d.Opf.,49.2016483,11.4275467,POINT (1272108.6796603538 6309146.4131016545),Bayern,Oberpfalz,Neumarkt,Landkreise,5705,190.46
Campingplatz an der Altmühl NATURAMA Beilngries mit Bayerns 1. Faßhotel,49.02637,11.470233,POINT (1276860.4968402027 6279337.016349331),Bayern,Oberbayern,Eichstätt,Landkreise,5705,211.07
Gasthof Lindenwirt,48.9250465,11.4547469,POINT (1275136.592073829 6262152.909722663),Bayern,Oberbayern,Eichstätt,Landkreise,5705,220.55
Campingplatz Dollnstein,48.873801,11.075714,POINT (1232942.842651931 6253475.129529759),Bayern,Oberbayern,Eichstätt,Landkreise,5705,197.33
AZUR Camping Regensburg in Bayern,49.02809609999999,12.0586953,POINT (1342367.8204272413 6279630.059667534),Bayern,Oberpfalz,Regensburg Städte,Kreisfreie Städte,5705,266.13
Pilz,49.22229,12.0586001,POINT (1342357.2228117178 6312663.8716201885),Bayern,Oberpfalz,Schwandorf,Landkreise,5705,252.04
"Camping Pielenhofen""",49.0584206,11.9591573,POINT (1331287.3009526604 6284779.967382167),Bayern,Oberpfalz,Regensburg,Landkreise,5705,253.94
